key;variant;instruction;en;nl;af;sq;am;ar;hy;as;az;eu;bn;my;bs;bg;ca;zh;da;de;et;fo;fi;fr;gl;ka;el;gu;he;hi;hu;ga;is;id;it;ja;kn;kk;km;ko;hr;lo;lv;lt;mk;ms;ml;mr;mn;ne;no;uk;or;ug;uz;fa;pl;pt;pa;ro;ru;sr;si;sk;sl;es;sw;ta;te;th;bo;cs;tr;ur;vi;cy;be;zu;sv
character.bear;;Animal name, a single word. English is 4 characters. Try to stay close to that.;Bear;Beer;Beer;Ari;ድብ;دب;Արջ;ভালুক;Ayı;Hartza;ভালুক;ဝက်ဝံ;Medvjed;Мечка;Ós;熊;Bjørn;Bär;Karu;Bjørn;Karhu;Ours;Oso;დათვი;Αρκούδα;રીંછ;דוב;भालू;Medve;Béar;Björn;Beruang;Orso;クマ;ಕರಡಿ;Аю;ខ្លាឃ្មុំ;곰;Medvjed;ໝີ;Lācis;Lokys;Мечка;Beruang;കരടി;अस्वल;Баавгай;भालु;Bjørn;Ведмідь;ଭାଲୁ;ئېيىق;Ayiq;خرس;Niedźwiedź;Urso;ਭਾਲੂ;Urs;Медведь;Medved;වලහා;Medveď;Medved;Oso;Dubu;වලහා;கரடி;หมี;དོམ;Medvěd;Ayı;ریچھ;Gấu;Arth;Мядзведзь;Ibhere;Björn
character.bunny;;Animal name, a single word. English is 5 characters. Try to stay close to that.;Bunny;Konijn;Hasie;Lepur;ጥንቸል;أرنب;Նապաստակ;খৰগোশ;Dovşan;Untxia;খরগোশ;ယုန်ကလေး;Zeko;Зайче;Conill;兔子;Kanin;Hase;Jänku;Kanina;Pupu;Lapin;Coello;კურდღელი;Λαγός;સસલું;ארנב;खरगोश;Nyuszi;Coinín;Kanína;Kelinci;Coniglio;ウサギ;ಮೊಲ;Қоян;ទន្សាយ;토끼;Zeko;ກະຕ່າຍ;Zaķis;Zuikutis;Зајак;Arnab;മുയൽ;ससा;Туулай;खरायो;Kanin;Зайчик;ଖରଗୋଶ;توشقان;Quyon;خرگوش;Królik;Coelho;ਖਰਗੋਸ਼;Iepuraș;Зайка;Zeka;හාවා;Zajačik;Zajček;Conejo;Sungura;හාවා;முயல்;กระต่าย;རི་བོང;Králík;Tavşan;خرگوش;Thỏ;Cwningen;Зайчык;Unogwaja;Kanin
character.crab;;Animal name, a single word. English is 4 characters. Try to stay close to that.;Crab;Krab;Krap;Gaforre;ሸርጣን;سلطعون;Խեցգետին;কেঁকোৰা;Krab;Karramarroa;কাঁকড়া;ကဏန်း;Rak;Рак;Cranc;螃蟹;Krabbe;Krabbe;Krabi;Krabbi;Rapu;Crabe;Cangrexo;კიბორჩხალა;Καβούρι;કરચલો;סרטן;केकड़ा;Rák;Portán;Krabbi;Kepiting;Granchio;カニ;ಏಡಿ;Теңізшаян;ក្តាម;게;Rak;ປູ;Krabis;Krabas;Рак;Ketam;ഞണ്ട്;खेकडा;Хавч;केकडा;Krabbe;Краб;କଙ୍କଡ଼ା;قىسقۇچپاقا;Qisqichbaqa;خرچنگ;Krab;Caranguejo;ਕੇਕੜਾ;Crab;Краб;Rak;කකුළුවා;Krab;Rak;Cangrejo;Kaa;කකුළුවා;நண்டு;ปู;སྡིག་སྲིན;Krab;Yengeç;کیکڑا;Cua;Cranc;Краб;Inkalankala;Krabba
character.dog;;Animal name, a single word. English is 3 characters. Try to stay close to that.;Dog;Hond;Hond;Qen;ውሻ;كلب;Շուն;কুকুৰ;İt;Txakurra;কুকুর;ခွေး;Pas;Куче;Gos;狗;Hund;Hund;Koer;Hundur;Koira;Chien;Can;ძაღლი;Σκύλος;કૂતરો;כלב;कुत्ता;Kutya;Madra;Hundur;Anjing;Cane;イヌ;ನಾಯಿ;Ит;ឆ្កែ;개;Pas;ໝາ;Suns;Šuo;Куче;Anjing;നായ;कुत्रा;Нохой;कुकुर;Hund;Пес;କୁକୁର;ئىت;It;سگ;Pies;Cão;ਕੁੱਤਾ;Câine;Пёс;Pas;බල්ලා;Pes;Pes;Perro;Mbwa;බල්ලා;நாய்;หมา;ཁྱི;Pes;Köpek;کتا;Chó;Ci;Сабака;Inja;Hund
character.elephant;;Animal name, a single word. English is 8 characters. Try to stay close to that.;Elephant;Olifant;Olifant;Elefant;ዝሆን;فيل;Փիղ;হাতী;Fil;Elefantea;হাতি;ဆင်;Slon;Слон;Elefant;大象;Elefant;Elefant;Elevant;Fílur;Norsu;Éléphant;Elefante;სპილო;Ελέφαντας;હાથી;פיל;हाथी;Elefánt;Eilifint;Fíll;Gajah;Elefante;ゾウ;ಆನೆ;Піл;ដំរី;코끼리;Slon;ຊ້າງ;Zilonis;Dramblys;Слон;Gajah;ആന;हत्ती;Заан;हात्ती;Elefant;Слон;ହାତୀ;پىل;Fil;فیل;Słoń;Elefante;ਹਾਥੀ;Elefant;Слон;Slon;අලියා;Slon;Slon;Elefante;Tembo;අලියා;யானை;ช้าง;གླང་ཆེན;Slon;Fil;ہاتھی;Voi;Eliffant;Слон;Indlovu;Elefant
character.fox;;Animal name, a single word. English is 3 characters. Try to stay close to that.;Fox;Vos;Jakkals;Dhelpër;ቀበሮ;ثعلب;Աղվես;শিয়াল;Tülkü;Azeria;শিয়াল;မြေခွေး;Lisica;Лисица;Guineu;狐狸;Ræv;Fuchs;Rebane;Revur;Kettu;Renard;Raposo;მელა;Αλεπού;શિયાળ;שועל;लोमड़ी;Róka;Sionnach;Refur;Rubah;Volpe;キツネ;ನರಿ;Түлкі;កញ្ជ្រោង;여우;Lisica;ໝາຈອກ;Lapsa;Lapė;Лисица;Rubah;കുറുക്കൻ;कोल्हा;Үнэг;स्याल;Rev;Лис;ଖଞ୍ଜନା;تۈلكە;Tulki;روباه;Lis;Raposa;ਲੂੰਬੜੀ;Vulpe;Лис;Lisica;නරියා;Líška;Lisica;Zorro;Mbweha;නරියා;நரி;จิ้งจอก;ཝ;Liška;Tilki;لومڑی;Cáo;Llwynog;Ліса;Impungushe;Räv
character.frog;;Animal name, a single word. English is 4 characters. Try to stay close to that.;Frog;Kikker;Padda;Bretkosë;እንቁራሪት;ضفدع;Գորտ;ভেকুলী;Qurbağa;Igela;ব্যাঙ;ဖား;Žaba;Жаба;Granota;青蛙;Frø;Frosch;Konn;Froskur;Sammakko;Grenouille;Ra;ბაყაყი;Βάτραχος;દેડકો;צפרדע;मेंढक;Béka;Frog;Froskur;Katak;Rana;カエル;ಕಪ್ಪೆ;Бақа;កង្កែប;개구리;Žaba;ກົບ;Varde;Varlė;Жаба;Katak;തവള;बेडूक;Мэлхий;भ्यागुतो;Frosk;Жаба;ବେଙ୍ଗ;پاقا;Qurbaqa;قورباغه;Żaba;Sapo;ਡੱਡੂ;Broască;Лягушка;Žaba;ගෙම්බා;Žaba;Žaba;Rana;Chura;ගෙම්බා;தவளை;กบ;སྦལ་པ;Žába;Kurbağa;مینڈک;Ếch;Broga;Жаба;Ixoxo;Groda
character.lion;;Animal name, a single word. English is 4 characters. Try to stay close to that.;Lion;Leeuw;Leeu;Luan;አንበሳ;أسد;Առյուծ;সিংহ;Şir;Lehoia;সিংহ;ခြင်္သေ့;Lav;Лъв;Lleó;狮子;Løve;Löwe;Lõvi;Leyva;Leijona;Lion;León;ლომი;Λιοντάρι;સિંહ;אריה;शेर;Oroszlán;Leon;Ljón;Singa;Leone;ライオン;ಸಿಂಹ;Арыстан;តោ;사자;Lav;ສິງ;Lauva;Liūtas;Лав;Singa;സിംഹം;सिंह;Арслан;सिंह;Løve;Лев;ସିଂହ;شىر;Arslon;شیر;Lew;Leão;ਸ਼ੇਰ;Leu;Лев;Lav;සිංහයා;Lev;Lev;León;Simba;සිංහයා;சிங்கம்;สิงโต;སེང་གེ;Lev;Aslan;شیر;Sư tử;Llew;Леў;Ibhubesi;Lejon
character.octopus;;Animal name, a single word. English is 7 characters. Try to stay close to that.;Octopus;Inktvis;Seekat;Oktapod;ኦክቶፐስ;أخطبوط;Ութոտնուկ;অক্টোপাছ;Ahtapot;Olagarroa;অক্টোপাস;ရေဘဝဲ;Hobotnica;Октопод;Pop;章鱼;Blæksprutte;Oktopus;Kaheksajalg;Høgguslokkur;Mustekala;Poulpe;Polbo;რვაფეხა;Χταπόδι;ઓક્ટોપસ;תמנון;ऑक्टोपस;Polip;Ochtapas;Kolkrabbi;Gurita;Polpo;タコ;ಆಕ್ಟೋಪಸ್;Сегізаяқ;មឹក;문어;Hobotnica;ປາໝຶກ;Astoņkājis;Aštuonkojis;Октопод;Kurita;നീരാളി;ऑक्टोपस;Наймаалж;अक्टोपस;Blekksprut;Восьминіг;ଅକ୍ଟୋପସ୍;سەككىزئاياغ;Ahtapot;هشت‌پا;Ośmiornica;Polvo;ਆਕਟੋਪਸ;Caracatiță;Осьминог;Hobotnica;බූවල්ලා;Chobotnica;Hobotnica;Pulpo;Pweza;බූවල්ලා;ஆக்டோபஸ்;หมึกยักษ์;ཉ་ལག་བརྒྱད;Chobotnice;Ahtapot;آکٹوپس;Bạch tuộc;Octopws;Васьміног;Ingwane;Bläckfisk
character.penguin;;Animal name, a single word. English is 7 characters. Try to stay close to that.;Penguin;Pinguïn;Pikkewyn;Pinguin;ፔንግዊን;بطريق;Պինգվին;পেংগুইন;Pinqvin;Pinguinoa;পেঙ্গুইন;ပင်ဂွင်း;Pingvin;Пингвин;Pingüí;企鹅;Pingvin;Pinguin;Pingviin;Pingvinur;Pingviini;Pingouin;Pingüín;პინგვინი;Πιγκουίνος;પેંગ્વિન;פינגווין;पेंगुइन;Pingvin;Piongain;Mörgæs;Pinguin;Pinguino;ペンギン;ಪೆಂಗ್ವಿನ್;Пингвин;ភេនឃ្វីន;펭귄;Pingvin;ເພນກວິນ;Pingvīns;Pingvinas;Пингвин;Penguin;പെൻഗ്വിൻ;पेंग्विन;Оцон шувуу;पेन्गुइन;Pingvin;Пінгвін;ପେଙ୍ଗୁଇନ୍;پىنگۋىن;Pingvin;پنگوئن;Pingwin;Pinguim;ਪੇਂਗੁਇਨ;Pinguin;Пингвин;Pingvin;පෙන්ගුවියා;Tučniak;Pingvin;Pingüino;Pengwini;පෙන්ගුවියා;பென்குயின்;เพนกวิน;པེང་གུན;Tučňák;Penguen;پینگوئن;Chim cánh cụt;Pengwin;Пінгвін;Iphengwini;Pingvin
character.pickerTitle;;Animal name, a single word. English is 21 characters. Try to stay close to that.;Choose your character;Kies je poppetje;Kies jou karakter;Zgjidh personazhin;ገጸ ባሕሪህን ምረጥ;اختر شخصيتك;Ընտրիր քո կերպարին;তোমাৰ চৰিত্ৰ বাছা;Personajını seç;Aukeratu pertsonaia;তোমার চরিত্র বেছে নাও;ကိုယ့်ဇာတ်ကောင်ကို ရွေးပါ;Izaberi lik;Избери герой;Tria el teu personatge;选择你的角色;Vælg din figur;Wähle deine Figur;Vali oma tegelane;Vel tína figur;Valitse hahmosi;Choisis ton personnage;Escolle o teu personaxe;აირჩიე პერსონაჟი;Διάλεξε χαρακτήρα;તમારું પાત્ર પસંદ કરો;בחרו דמות;अपना पात्र चुनें;Válassz figurát;Roghnaigh do charachtar;Veldu persónu;Pilih karaktermu;Scegli il personaggio;キャラクターをえらぼう;ನಿನ್ನ ಪಾತ್ರವನ್ನು ಆರಿಸು;Кейіпкеріңді таңда;ជ្រើសតួអង្គរបស់អ្នក;캐릭터를 골라요;Odaberi svog lika;ເລືອກຕົວລະຄອນ;Izvēlies tēlu;Pasirink veikėją;Избери лик;Pilih watak;നിന്റെ കഥാപാത്രം തിരഞ്ഞെടുക്കൂ;तुझं पात्र निवड;Дүрээ сонго;आफ्नो पात्र छान;Velg figur;Обери героя;ତୁମ ପାତ୍ର ବାଛ;قەھرىمانىڭنى تاللا;Qahramoningni tanla;شخصیتت را انتخاب کن;Wybierz postać;Escolhe a tua personagem;ਆਪਣਾ ਕਿਰਦਾਰ ਚੁਣੋ;Alege personajul;Выбери героя;Izaberi lika;ඔබේ චරිතය තෝරන්න;Vyber si postavičku;Izberi junaka;Elige tu personaje;Chagua mhusika wako;ඔබේ චරිතය තෝරන්න;உன் கதாபாத்திரத்தைத் தேர்ந்தெடு;เลือกตัวละคร;ཁྱེད་ཀྱི་མི་སྣ་འདེམས།;Vyber si postavičku;Karakterini seç;اپنا کردار چنیں;Chọn nhân vật;Dewis dy gymeriad;Выберы свайго героя;Khetha umlingiswa wakho;Välj figur
common.back;;Small button or label. Keep it very short. English is 4 characters. Try to stay close to that.;Back;Terug;Terug;Mbrapa;ተመለስ;رجوع;Հետ;পিছলৈ;Geri;Atzera;পেছনে;နောက်သို့;Natrag;Назад;Enrere;返回;Tilbage;Zurück;Tagasi;Aftur;Takaisin;Retour;Atrás;უკან;Πίσω;પાછળ;חזרה;वापस;Vissza;Siar;Til baka;Kembali;Indietro;もどる;ಹಿಂದೆ;Артқа;ថយក្រោយ;뒤로;Natrag;ກັບ;Atpakaļ;Atgal;Назад;Kembali;പിന്നോട്ട്;मागे;Буцах;पछाडि;Tilbake;Назад;ପଛକୁ;قايت;Orqaga;برگشت;Wstecz;Voltar;ਪਿੱਛੇ;Înapoi;Назад;Nazad;ආපසු;Späť;Nazaj;Atrás;Rudi;ආපසු;பின்;กลับ;ཕྱིར་ལོག;Zpět;Geri;واپس;Quay lại;Nôl;Назад;Emuva;Tillbaka
common.cancel;;Small button or label. Keep it very short. English is 6 characters. Try to stay close to that.;Cancel;Annuleer;Kanselleer;Anulo;ሰርዝ;إلغاء;Չեղարկել;বাতিল;Ləğv et;Utzi;বাতিল;မလုပ်တော့;Otkaži;Отказ;Cancel·la;取消;Annuller;Abbrechen;Loobu;Angra;Peruuta;Annuler;Cancelar;გაუქმება;Ακύρωση;રદ કરો;ביטול;रद्द करें;Mégse;Cealaigh;Hætta við;Batal;Annulla;キャンセル;ರದ್ದು;Бас тарту;បោះបង់;취소;Odustani;ຍົກເລີກ;Atcelt;Atšaukti;Откажи;Batal;റദ്ദാക്കുക;रद्द;Цуцлах;रद्द;Avbryt;Скасувати;ବାତିଲ୍;بىكار قىل;Bekor qilish;لغو;Anuluj;Cancelar;ਰੱਦ ਕਰੋ;Anulează;Отмена;Otkaži;අවලංගු;Zrušiť;Prekliči;Cancelar;Ghairi;අවලංගු;ரத்துசெய்;ยกเลิก;ཕྱིར་འཐེན;Zrušit;İptal;منسوخ;Hủy;Canslo;Скасаваць;Khansela;Avbryt
